original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Adidas Alphaboost V1 Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5373134328358209,https://www.noon.com/egypt-en/alphaboost-v1-running-shoes/ZCE974EB405AE759C93D6Z/p/?o=zce974eb405ae759c93d6z-8,"5,549",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
Adidas Runfalcon 3.0 Elastic Lace Top Strap Running Shoes ,Men Nitro - 11452 Running Shoe -,0.4222222222222223,https://www.noon.com/egypt-en/runfalcon-3-0-elastic-lace-top-strap-running-shoes/ZF753EF56453C96136B7EZ/p/?o=zf753ef56453c96136b7ez-6,"1,763",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
crocs Bayaband Clog ,"HeroPlast Shoe horn, Black S04",0.31999999999999995,https://www.noon.com/egypt-en/bayaband-clog/Z91B3E006C543419550AAZ/p/?o=z91b3e006c543419550aaz-3,"1,499",https://www.amazon.eg/-/en/HeroPlast-Shoe-horn-Black-S04/dp/B0BCZPZD1W,14
Cougar Adjustable roller skate shoes Cougar 313 pink size 39-42 ,Casual Sneakers Shoes for men for Daily Life - D4,0.4601769911504425,https://www.noon.com/egypt-en/adjustable-roller-skate-shoes-cougar-313-pink-size-39-42/ZE42AA402A33779625821Z/p/?o=ze42aa402a33779625821z-1,"2,890",https://www.amazon.eg/-/en/Casual-Sneakers-Shoes-Daily-Life/dp/B0CWDDNZBS,385
LIFESTYLISH SN-401 Dotted Leather Heel Shoes - Black ,"HeroPlast Shoe horn, Black S04",0.40963855421686746,https://www.noon.com/egypt-en/sn-401-dotted-leather-heel-shoes-black/Z78DFDFBAF0CAFFD9ECB0Z/p/?o=z78dfdfbaf0caffd9ecb0z-5,415,https://www.amazon.eg/-/en/HeroPlast-Shoe-horn-Black-S04/dp/B0BCZPZD1W,14
SKECHERS Go Walk Flex Impeccable Ii Slip-On ,Men's Genuine Leather Slip On Shoes,0.379746835443038,https://www.noon.com/egypt-en/go-walk-flex-impeccable-ii-slip-on/Z6041F54B8145779382DEZ/p/?o=z6041f54b8145779382dez-4,"3,864",https://www.amazon.eg/-/en/Genuine-Leather-Shoes-Medium-Black/dp/B0CVFRXV3R,539
Adidas Runfalcon 3.0 Running Shoes ,Men Curre-2 11450 Running Shoe -,0.5373134328358209,https://www.noon.com/egypt-en/runfalcon-3-0-running-shoes/Z17DC0AFDECF53A224288Z/p/?o=z17dc0afdecf53a224288z-6,"2,717",https://www.amazon.eg/-/en/Diadora-Men-Curre-11450-Running/dp/B0BZ59NY7M,"1,245"
DeFacto Woman Sport Shoes ,Men's Cai Slip On Shoes,0.4897959183673469,https://www.noon.com/egypt-en/woman-sport-shoes/Z7639FB6188D2E84A3493Z/p/?o=z7639fb6188d2e84a3493z-4,"1,509",https://www.amazon.eg/-/en/Mintra-Mens-Slip-Shoes-Blue/dp/B0BYJW5Q3T,499
SportQ Can Convert Tri To Single Row Indoor/Outdoor Starter Indoor Skate Shoe  (Medium 35-38 Us) ,Testa Toro Medical Foam Core Shoe - Leather & Microfiber Fabric - Heel Support Foam - Testa Toro,0.37305699481865284,https://www.noon.com/egypt-en/can-convert-tri-to-single-row-indoor-outdoor-starter-indoor-skate-shoe-medium-35-38-us/N52752528A/p/?o=e4926f9705abb59a,720,https://www.amazon.eg/-/en/Testa-Toro-Medical-Foam-Core/dp/B0CFKH9C9N,225
JOCKEY Baby Boys Pants & Sweatshirt Set ,Men Stylish Casual Lace-Up Leather Sneakers,0.3855421686746988,https://www.noon.com/egypt-en/baby-boys-pants-sweatshirt-set/ZED79C4C728539AF5610AZ/p/?o=zed79c4c728539af5610az-1,258,https://www.amazon.eg/-/en/Desert-Stylish-Lace-Up-Leather-Sneakers/dp/B0CKQ8CDQ9,229
LC WAIKIKI Crew Neck Long Sleeve Baby Girl Shirt and Shorts 2-Pack Set ,Testa Toro Washable Clean Suede Padded Inside with Heel Support Foam Brush - Testa Toro,0.379746835443038,https://www.noon.com/egypt-en/crew-neck-long-sleeve-baby-girl-shirt-and-shorts-2-pack-set/Z1F8642A9E336095AAD9EZ/p/?o=z1f8642a9e336095aad9ez-3,391,https://www.amazon.eg/-/en/Testa-Toro-Washable-Padded-Support/dp/B0BZDX15BV,299
"POWER Adjustable Roller Skate Shoes 2-Rows 4-Wheels Size Meduim 35-38, Black ",Casual Sneakers Shoes for men for Daily Life - D4,0.38095238095238093,https://www.noon.com/egypt-en/adjustable-roller-skate-shoes-2-rows-4-wheels-size-meduim-35-38-black/Z04095A1CE18B9A8465AFZ/p/?o=z04095a1ce18b9a8465afz-1,"1,500",https://www.amazon.eg/-/en/Casual-Sneakers-Shoes-Daily-Life/dp/B0CWDDNZBS,385
Adidas Adilette Shower Slides ,Kids 3-Stripes Shoes,0.48,https://www.noon.com/egypt-en/adilette-shower-slides/Z32BDDBC2BCCBBC37A44BZ/p/?o=z32bddbc2bccbbc37a44bz-2,"1,085",https://www.amazon.eg/-/en/Amoun-Kids-3-Stripes-Shoes-Size/dp/B0DCZV3JYZ,235
UNDER ARMOUR Micro G Pursuit BP Running Shoes Black ,Men Nitro - 11452 Running Shoe -,0.5,https://www.noon.com/egypt-en/micro-g-pursuit-bp-running-shoes-black/N43627263V/p/?o=baafceedd483d6ee,"2,395",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
crocs Crocband ,womens Mintra Hiking Shoe,0.35,https://www.noon.com/egypt-en/crocband/Z2885BE3E83D6543D0FB8Z/p/?o=z2885be3e83d6543d0fb8z-1,"1,739",https://www.amazon.eg/-/en/Mintra-Womens-Apex-Sneaker-Black/dp/B0CNT5ZR11,900
LC WAIKIKI Crew Neck Long Sleeve Printed Baby Girl Sweatshirt and Trousers 2-Pack Set ,Testa Toro Washable Clean Suede Padded Inside with Heel Support Foam Brush - Testa Toro,0.3930635838150289,https://www.noon.com/egypt-en/crew-neck-long-sleeve-printed-baby-girl-sweatshirt-and-trousers-2-pack-set/Z96A0CD1EB1CD76607AD8Z/p/?o=z96a0cd1eb1cd76607ad8z-3,307,https://www.amazon.eg/-/en/Testa-Toro-Washable-Padded-Support/dp/B0BZDX15BV,299
El Sayaad Baby Boys Playsuit ,Toro Casual Sneaker for Daily Life - Testa Toro,0.3421052631578947,https://www.noon.com/egypt-en/baby-boys-playsuit/ZF0A18734640AFBB65ABCZ/p/?o=zf0a18734640afbb65abcz-6,172,https://www.amazon.eg/-/en/Testa-Toro-Casual-Sneaker-Daily/dp/B0CSVBHB1F,299
crocs Baya Blk-M4W6 ,"HeroPlast Shoe horn, Black S04",0.36,https://www.noon.com/egypt-en/baya-blk-m4w6/ZF1DD129F37CEDE3635F2Z/p/?o=zf1dd129f37cede3635f2z-5,"1,059",https://www.amazon.eg/-/en/HeroPlast-Shoe-horn-Black-S04/dp/B0BCZPZD1W,14
Sporty Roller Skate Shoes Size M ,mens Mentra Shoes Hiking Shoe,0.4193548387096774,https://www.noon.com/egypt-en/roller-skate-shoes-size-m/Z62EEC26E911888D5B646Z/p/?o=z62eec26e911888d5b646z-1,700,https://www.amazon.eg/-/en/Mintra-Mens-Shoes-Urban-Black/dp/B0CYHD1NVR,"1,299"
crocs Bayaband Clog ,"HeroPlast Shoe horn, Black S04",0.31999999999999995,https://www.noon.com/egypt-en/bayaband-clog/Z3BD0C71D5544E0255DB8Z/p/?o=z3bd0c71d5544e0255db8z-1,"1,499",https://www.amazon.eg/-/en/HeroPlast-Shoe-horn-Black-S04/dp/B0BCZPZD1W,14
